X,Y,BoxID,Thickness (m),Speed (m/yr),Width (m),Speed/Width,SpeedxWidth,SpeedxWidthxThickness
-604450,-1370400,5,212.02,27.853982925415,4766.64161451295,0.00584352363320294,132769.954142217,1417344.35036316
-604210,-1370400,5,215,19.307767868042,4766.64161451295,0.00405060196035209,92033.209803165,996280.821990967
-603970,-1370400,5,215.86,16.4537334442139,4766.64161451295,0.00345185033297182,78429.0505492933,852408.696304321
-603730,-1370400,5,177.48,15.2308139801025,4766.64161451295,0.003195292453649,72599.8317404624,648759.567645264
-603490,-1370400,5,160.5,15.2308139801025,4766.64161451295,0.003195292453649,72599.8317404624,586690.95451355
-605170,-1370700,5,183.96,16.2970638275146,4766.64161451295,0.0034189824084729,77682.262634605,719521.886810303
-604930,-1370700,5,187.44,16.2104301452637,4766.64161451295,0.00340080741457632,77269.310919569,729235.926342773
-604690,-1370700,5,161.15,18.5462551116943,4766.64161451295,0.00389084319979642,88403.3514087758,717294.96269989
-604450,-1370700,5,135.05,22.2337608337402,4766.64161451295,0.00466444986466893,105980.369637234,720640.656143189
-604210,-1370700,5,139.16,19.9568557739258,4766.64161451295,0.00418677496398372,95127.1792268277,666527.051879883
-606370,-1370900,5,26.145,33.4398498535156,4766.64161451295,0.00701538998688335,159395.779894832,209828.36986084
-606130,-1370900,5,76.558,32.0530204772949,4766.64161451295,0.00672444523198542,152785.26127791,588939.634008179
-605890,-1370900,5,86.008,20.2939414978027,4766.64161451295,0.0042574926203837,96733.9460659178,418905.916882324
-605650,-1370900,5,123.56,16.4654941558838,4766.64161451295,0.00345431762810769,78485.1096469555,488274.34989624
-605410,-1370900,5,143.25,15.2768115997314,4766.64161451295,0.00320494235463775,72819.0859083541,525216.782798767
-605170,-1370900,5,135.77,15.2768115997314,4766.64161451295,0.00320494235463775,72819.0859083541,497791.850614929
-604930,-1370900,5,129.96,15.7594156265259,4766.64161451295,0.00330618848678351,75119.4863458039,491542.477157593
-606610,-1371200,5,15.662,44.1992378234863,4766.64161451295,0.00927261610961338,210681.926339185,166139.631069946
-606370,-1371200,5,40.24,38.8639907836914,4766.64161451295,0.00815332763121158,185250.715775591,375332.877392578
-606130,-1371200,5,67.53,34.5201416015625,4766.64161451295,0.00724202581046986,164545.143496888,559474.838964844
-605890,-1371200,5,12.058,26.7827472686768,4766.64161451295,0.00561878769889718,127663.757681858,77507.127975769
-568700,-1383600,9,61.965,129.614318847656,6683.9720279612,0.0193918104841609,866338.481600978,1927572.3041748
-568700,-1383900,9,59.18,115.914741516113,6683.9720279612,0.0173421942867512,774770.889922054,1646360.25670166
-568460,-1383900,9,54.26,161.356185913086,6683.9720279612,0.0241407631926168,1078500.23318157,2101244.79543457
-568460,-1384100,9,55.498,130.513580322266,6683.9720279612,0.0195263504659034,872349.12014309,1738378.24337402
-568220,-1384100,9,64.511,185.908172607422,6683.9720279612,0.0278140261254398,1242605.02547739,2878349.30953857
-568220,-1384400,9,76.617,139.290832519531,6683.9720279612,0.0208395295397457,931016.028311975,2561290.97163574
-567980,-1384400,9,81.609,139.290832519531,6683.9720279612,0.0208395295397457,931016.028311975,2728172.53226074
-567980,-1384600,9,64.567,139.290832519531,6683.9720279612,0.0208395295397457,931016.028311975,2158461.88398926
-567740,-1384600,9,53.747,200.337707519531,6683.9720279612,0.0299728524717719,1339051.63320642,2584212.18385254
-567740,-1384800,9,57.153,134.626098632812,6683.9720279612,0.020141631064527,899837.077495264,1846628.49963867
-567500,-1384800,9,64.873,225.861511230469,6683.9720279612,0.0337915105397835,1509652.0232575,3516555.31633301
-567500,-1385100,9,45.681,161.650573730469,6683.9720279612,0.0241848070360308,1080467.91311833,1772246.36605957
-567260,-1385100,9,50.165,277.378631591797,6683.9720279612,0.041499071275498,1853991.01471372,3339527.7729126
-567260,-1385300,9,45.21,179.014434814453,6683.9720279612,0.026782642725849,1196527.47490109,1942378.22351074
-567020,-1385300,9,28.278,388.873413085938,6683.9720279612,0.0581799881057484,2599219.01548421,2639174.97005859
-547820,-1400900,45,12.959,16.8575839996338,1304.51949042859,0.0129224470184768,21991.0468890595,52429.783452301
-470320,-1408400,49,38.667,16.7080879211426,1129.79424949997,0.0147886112259265,18876.7016534469,155052.392555237
-470320,-1408600,49,10.187,16.4265937805176,1129.79424949997,0.0145394560007609,18558.6711921008,40161.0506021118
-474390,-1411700,18,70.375,17.5531215667725,5380.52565250836,0.00326234325424865,94445.0208716169,296472.223262787
-474390,-1412000,18,69.305,21.0167217254639,5380.52565250836,0.00390607220981579,113081.010375488,349575.335803986
-474150,-1412000,18,69.674,21.7941093444824,5380.52565250836,0.0040505539332058,117263.76440156,364435.865872192
-473910,-1412000,18,56.791,25.3170070648193,5380.52565250836,0.00470530366359591,136218.805956996,345066.755572357
-473910,-1412200,18,49.892,25.3366737365723,5380.52565250836,0.00470895882166467,136324.622988862,303383.358255615
-473670,-1412200,18,31.837,25.5121383666992,5380.52565250836,0.00474156987892171,137268.714932368,194935.187803345
-473430,-1412200,18,27.76,24.7267532348633,5380.52565250836,0.0045956017742125,133042.930083426,164739.520751953
-473430,-1412400,18,31.152,24.7267532348633,5380.52565250836,0.0045956017742125,133042.930083426,184869.076025391
-473190,-1412400,18,29.992,24.7267532348633,5380.52565250836,0.0045956017742125,133042.930083426,177985.147924805
-473190,-1412700,18,34.395,25.6834011077881,5380.52565250836,0.00477339999221353,138190.198504115,212011.339464569
-472950,-1412700,18,41.136,23.2446842193604,5380.52565250836,0.00432015117491799,125068.619726725,229486.399211426
-472720,-1412700,18,43.22,22.5000858306885,5380.52565250836,0.00418176350858937,121062.288995659,233388.890304565
-472720,-1412900,18,25.59,25.2312774658203,5380.52565250836,0.00468937035065667,135757.535650402,154960.413684082
-477510,-1415600,19,190.38,25.6924877166748,8949.19949430625,0.00287092579990212,229927.198081536,1173920.59476013
-477270,-1415800,19,181.33,29.9165554046631,8949.19949430625,0.00334293088713654,267729.222498796,1301944.55796661
-477030,-1415800,19,166.37,22.5390014648438,8949.19949430625,0.00251854945005794,201706.020511347,899955.281689453
-477030,-1416000,19,154.86,27.4465961456299,8949.19949430625,0.00306693309978085,245625.064346899,1020091.17098694
-476790,-1416000,19,128.27,24.1284980773926,8949.19949430625,0.00269616272301717,215930.742792571,742790.987612915
-476550,-1416000,19,109.05,24.1284980773926,8949.19949430625,0.00269616272301717,215930.742792571,631491.051681519
-476550,-1416300,19,97.26,32.1792373657227,8949.19949430625,0.00359576712824382,287978.414760486,751140.630285645
-476310,-1416300,19,76.403,26.1795120239258,8949.19949430625,0.00292534679113836,234285.675765701,480046.38171936
-560300,-1423700,36,19.47,29.6157073974609,2239.51964906359,0.0132241337600427,66324.9586375317,138388.277526855
801000,-2084600,449,13.51,39.643424987793,2668.1756187276,0.0148578769364132,105775.619995286,128539.84118042
602070,-2308800,399,33.29,21.7706890106201,1306.28165653319,0.0166661522817357,28438.6517046618,173939.09691925
602070,-2309000,399,46.135,21.7706890106201,1306.28165653319,0.0166661522817357,28438.6517046618,241053.77700119
602310,-2309000,399,69.404,28.5147361755371,1306.28165653319,0.0218289340839508,37248.2768069875,474968.819886475
602550,-2309000,399,94.34,36.3110542297363,1306.28165653319,0.0277972625950395,47432.4640696865,822140.365447998
210220,-2756100,279,25.002,36.3865051269531,4796.22071194391,0.00758649514113075,174517.709525146,218336.49628418
210220,-2756300,279,22.83,51.3773345947266,4796.22071194391,0.0107120455209209,246417.0363077,281506.691711426
210460,-2756300,279,22.124,67.5338516235352,4796.22071194391,0.0140806388361898,323907.257914146,358588.543996582
210700,-2756300,279,24.746,67.5338516235352,4796.22071194391,0.0140806388361898,323907.257914146,401086.24614624
210940,-2756300,279,28.091,91.880729675293,4796.22071194391,0.0191569019012167,440680.258697159,619445.178554077
211180,-2756300,279,29.503,106.055816650391,4796.22071194391,0.0221123720153834,508667.104440729,750951.542072754
211420,-2756300,279,27.81,108.617057800293,4796.22071194391,0.0226463843771423,520951.382292174,724953.690582275
211420,-2756600,279,25.913,84.1464691162109,4796.22071194391,0.0175443279552718,403585.038012119,523316.98901001
211660,-2756600,279,24.055,66.9068603515625,4796.22071194391,0.0139499127271074,320900.069389303,386266.686181641
211900,-2756600,279,30.251,62.2269554138184,4796.22071194391,0.0129741642745623,298454.212396966,451782.630773621
212140,-2756600,279,26.064,52.2419509887695,4796.22071194391,0.0108923158725104,250563.927364695,326792.210537109
212380,-2756600,279,17.715,52.2419509887695,4796.22071194391,0.0108923158725104,250563.927364695,222111.878823853
197260,-2828800,261,21.637,29.2309341430664,3521.54929363005,0.00830058923097875,102938.175483662,151792.733292847
66719,-3272300,92,238.78,105.968521118164,1101.77694505309,0.0961796501496574,116753.673469364,6072759.23342285
66719,-3272500,92,189.14,194.189331054688,1101.77694505309,0.176251038766591,213953.327931336,8814952.81816406
